,full_price,city,eu_country,bedrooms,person_capacity,cleanliness_rating,guest_satisfaction_overall,distance_to_center,distance_to_metro
179,833.3138049820731,amsterdam,Netherlands,2,4.0,10.0,97.0,2.379144746458994,0.4821955342373608
181,602.254352869496,amsterdam,Netherlands,1,4.0,10.0,97.0,2.178444728310984,1.3971998000797672
182,1425.7258688163477,amsterdam,Netherlands,2,4.0,9.0,95.0,0.6937770390868382,0.6103862978784339
183,737.2343167811028,amsterdam,Netherlands,3,4.0,10.0,97.0,1.5250661771208915,1.2483942832692196
190,1413.3058374147588,amsterdam,Netherlands,4,4.0,10.0,95.0,2.5285867094854373,1.472691888707652
192,920.4883650083192,amsterdam,Netherlands,3,4.0,10.0,99.0,1.0502783080107736,0.8064406756102587
193,622.876291800436,amsterdam,Netherlands,1,2.0,10.0,98.0,1.750366502069159,1.6355972255474551
202,811.0514845452628,amsterdam,Netherlands,1,2.0,10.0,98.0,1.3793400398962383,0.3861357620803379
203,1106.320155601903,amsterdam,Netherlands,1,2.0,10.0,99.0,1.0183806520872525,0.8601405523850606
209,614.4400440559605,amsterdam,Netherlands,1,4.0,10.0,92.0,1.3701507627213405,0.1073010915114232
210,737.2343167811028,amsterdam,Netherlands,1,2.0,8.0,80.0,2.445875336409064,0.626836891216754
211,685.9138096688773,amsterdam,Netherlands,2,4.0,10.0,98.0,2.8597924696165715,0.5770980648418833
212,823.4715159468517,amsterdam,Netherlands,2,5.0,10.0,95.0,3.503952091186423,1.7228436691300804
215,638.8114264288895,amsterdam,Netherlands,1,2.0,9.0,99.0,4.026662462247161,0.8724677156341855
216,1136.5500433529398,amsterdam,Netherlands,3,4.0,10.0,97.0,3.1972985934282425,0.5412267604627591
220,688.0228716049962,amsterdam,Netherlands,2,4.0,10.0,100.0,1.2822467230183203,1.197580042986349
221,648.8880556792352,amsterdam,Netherlands,1,2.0,10.0,100.0,1.5910392036654406,1.5138877551236871
224,774.2600707707451,amsterdam,Netherlands,1,2.0,10.0,96.0,3.24668560709205,0.733216648892451
225,1126.942094532843,amsterdam,Netherlands,2,4.0,8.0,90.0,2.88941954285758,1.1995434912583012
232,1351.9087010521878,amsterdam,Netherlands,2,4.0,9.0,97.0,0.6128074572394556,0.6261354026228159
234,614.4400440559605,amsterdam,Netherlands,3,4.0,9.0,98.0,4.055558885452375,2.144151474553194
240,798.8657933587983,amsterdam,Netherlands,3,5.0,9.0,95.0,3.816294493436277,0.7166396308234398
241,654.9809012724675,amsterdam,Netherlands,1,2.0,10.0,96.0,1.157611864220484,0.4427565973806295
249,669.7443348252995,amsterdam,Netherlands,2,4.0,9.0,88.0,2.502125234308872,1.9683862116295985
251,706.5357485998172,amsterdam,Netherlands,3,4.0,9.0,89.0,2.531798798357753,1.9508241563748103
252,1038.361493215851,amsterdam,Netherlands,2,4.0,9.0,99.0,0.1951980501873343,0.2543870729567982
258,817.1443301384951,amsterdam,Netherlands,3,4.0,10.0,100.0,4.193063773512277,0.1530381646078639
259,792.7729477655661,amsterdam,Netherlands,3,6.0,9.0,92.0,6.446611060893965,2.5320980249943688
261,774.2600707707451,amsterdam,Netherlands,1,2.0,9.0,93.0,0.345523840742521,0.4195982639991573
264,974.6209547020364,amsterdam,Netherlands,1,3.0,10.0,95.0,1.2238902406353978,0.2904783052940414
265,1044.6886790242074,amsterdam,Netherlands,3,5.0,9.0,96.0,3.5132238825336257,1.660496489168836
266,607.1754973871067,amsterdam,Netherlands,1,4.0,10.0,96.0,1.4250454822872758,1.3247353046140298
273,771.6823284043776,amsterdam,Netherlands,1,2.0,9.0,96.0,2.670217588988946,0.6242630501583555
289,1044.6886790242074,amsterdam,Netherlands,2,4.0,9.0,94.0,1.7381836787487484,0.3776491570566164
292,734.8909146298597,amsterdam,Netherlands,2,4.0,9.0,89.0,0.8268636946364731,0.6483040842536506
299,1112.1786609800108,amsterdam,Netherlands,2,4.0,9.0,97.0,0.9384199597900156,0.9089482696796484
300,614.4400440559605,amsterdam,Netherlands,2,4.0,9.0,95.0,0.8689376780218488,0.9431073696347472
310,774.2600707707451,amsterdam,Netherlands,1,4.0,10.0,99.0,3.240919753612332,2.034269593921583
311,1029.925245471375,amsterdam,Netherlands,1,4.0,9.0,95.0,1.7763168318632667,0.3904185288251806
314,688.0228716049962,amsterdam,Netherlands,2,4.0,8.0,91.0,4.894306981480401,0.8312679532162717
318,1038.361493215851,amsterdam,Netherlands,1,2.0,9.0,90.0,1.761900973638962,1.6840366529235025
321,1118.2715065732432,amsterdam,Netherlands,3,4.0,10.0,95.0,1.96011552062919,0.2477981208904617
330,712.8629344081738,amsterdam,Netherlands,1,2.0,10.0,94.0,1.0888412392791802,1.1916766135357626
342,1136.5500433529398,amsterdam,Netherlands,2,4.0,9.0,95.0,0.3639339290695795,0.2256158781449668
345,1210.3672111171,amsterdam,Netherlands,3,4.0,9.0,87.0,7.969305988961323,3.4497912331003158
347,1044.6886790242074,amsterdam,Netherlands,1,2.0,10.0,100.0,2.1587272360800718,0.462624354105188
351,661.308087080824,amsterdam,Netherlands,2,4.0,9.0,95.0,0.2974726347767152,0.273675427402192
355,722.2365430131465,amsterdam,Netherlands,1,4.0,9.0,96.0,2.056143962063712,0.5829532354990414
357,602.0200126543716,amsterdam,Netherlands,1,2.0,9.0,95.0,2.583144908068959,0.6132777706171577
359,817.1443301384951,amsterdam,Netherlands,2,4.0,10.0,89.0,2.2026551610414105,0.4808489268128597
362,1161.1557659409932,amsterdam,Netherlands,4,6.0,9.0,87.0,1.143335256300487,0.434767398257414
366,614.4400440559605,amsterdam,Netherlands,2,4.0,10.0,99.0,1.4690753644746604,0.1869973972516004
368,784.1023598059663,amsterdam,Netherlands,2,5.0,8.0,95.0,1.3407265036144973,1.3704601766751132
369,675.6028402034074,amsterdam,Netherlands,1,4.0,10.0,97.0,1.2216762047028968,0.6329835978810849
378,917.9106226419516,amsterdam,Netherlands,2,4.0,10.0,96.0,3.6138475671793455,0.4328047659136378
380,968.29376889368,amsterdam,Netherlands,3,6.0,10.0,95.0,2.5809634907719534,0.8236820945514493
382,636.7023644927707,amsterdam,Netherlands,1,2.0,10.0,100.0,1.0877057867638138,0.4831030836764748
383,642.5608698708786,amsterdam,Netherlands,2,4.0,10.0,98.0,1.7850137283759848,0.8252620114311899
386,737.2343167811028,amsterdam,Netherlands,1,2.0,8.0,92.0,1.5409509359930025,0.3004920413890542
390,1130.691537974832,amsterdam,Netherlands,3,4.0,8.0,96.0,2.228795196244665,0.4285827306811792
391,669.7443348252995,amsterdam,Netherlands,1,2.0,10.0,95.0,3.1085899421577183,2.0309185993218186
393,636.7023644927707,amsterdam,Netherlands,1,2.0,10.0,98.0,2.6441496003211595,0.4671583350127822
396,855.3417852037588,amsterdam,Netherlands,1,6.0,10.0,100.0,2.5809800774886003,0.8236655684837957
397,675.8371804185317,amsterdam,Netherlands,1,4.0,10.0,100.0,2.5809768821939887,0.8236759028790247
405,602.0200126543716,amsterdam,Netherlands,2,4.0,9.0,96.0,3.563816361456737,1.3584681110082284
410,626.625735242425,amsterdam,Netherlands,1,2.0,10.0,100.0,0.5337976180149427,0.3223209296815849
415,737.2343167811028,amsterdam,Netherlands,2,4.0,10.0,100.0,2.153009991498413,1.4911980998059209
416,765.5894828111453,amsterdam,Netherlands,3,4.0,9.0,95.0,3.2965734069277315,1.226627473905339
418,1179.6686429358142,amsterdam,Netherlands,2,4.0,10.0,100.0,0.6662369998526062,0.5920692170542828
419,657.3243034237106,amsterdam,Netherlands,2,4.0,9.0,73.0,3.0841225527215075,0.5317907808547516
420,620.7672298643171,amsterdam,Netherlands,2,4.0,10.0,95.0,3.1641595963446867,0.4767363699926728
421,618.1894874979496,amsterdam,Netherlands,2,4.0,10.0,93.0,3.1502542206829074,0.540488286065526
425,737.2343167811028,amsterdam,Netherlands,1,4.0,8.0,88.0,0.5049749473094602,0.338421910928131
427,700.442903006585,amsterdam,Netherlands,2,4.0,9.0,93.0,2.793038724881065,1.05041461371443
430,722.7052234433952,amsterdam,Netherlands,3,4.0,8.0,76.0,2.955913597127819,1.644883337396129
432,678.4149227848992,amsterdam,Netherlands,2,4.0,10.0,97.0,10.729829705225098,0.5039596498564389
436,968.29376889368,amsterdam,Netherlands,2,6.0,9.0,97.0,2.5810130243666207,0.8236756885990021
437,767.9328849623885,amsterdam,Netherlands,1,4.0,9.0,90.0,2.123157088876007,0.5026921388728146
439,624.2823330911818,amsterdam,Netherlands,2,4.0,9.0,87.0,3.575143509989056,0.7687288633653885
440,1179.6686429358142,amsterdam,Netherlands,3,4.0,10.0,97.0,1.406046877004593,0.6700167005633776
441,602.254352869496,amsterdam,Netherlands,2,3.0,9.0,96.0,3.5439609687505778,0.4396085408345265
443,943.6880463056266,amsterdam,Netherlands,1,4.0,10.0,92.0,2.49564889900842,0.9764219624064068
449,704.1923464485741,amsterdam,Netherlands,3,4.0,9.0,100.0,3.7049954688395865,2.2910261030206738
